Gene,Xobs
YBR109C,2.444932
YBR110W,0.144448
YBR111C,1.445604
YBR112C,0.188081
YBR114W,0.012346
YBR115C,0.239905
YBR117C,0.005161
YBR118W,63.251044
YBR119W,0.118341
YBR120C,0.143025
YBR121C,2.438825
YBR122C,0.145805
YBR123C,0.112075
YBR125C,0.171098
YBR126C,1.123263
YBR127C,1.986147
YBR128C,0.016813
YBR129C,0.106868
YBR130C,0.103069
YBR131W,0.025861
YBR132C,0.022434
YBR133C,0.088671
YBR135W,0.702612
YBR136W,0.012069
YBR137W,0.397604
YBR138C,0.008139
YBR139W,0.476977
YBR140C,0.023866
YBR141C,0.164046
YBR142W,0.480744
YBR143C,1.688641
YBR145W,0.311017
YBR146W,0.263678
YBR147W,0.017042
YBR148W,0.017324
YBR149W,0.76043
YBR150C,0.006974
YBR151W,0.310218
YBR152W,0.008482
YBR153W,0.213726
YBR154C,1.144752
YBR155W,0.297101
YBR156C,0.032243
YBR157C,0.038887
YBR158W,0.296814
YBR159W,1.297672
YBR160W,0.589201
YBR161W,0.071729
YBR162C,2.135775
YBR162WA,3.73328
YBR163W,0.028055
YBR164C,0.629536
YBR165W,0.095896
YBR166C,0.312197
YBR167C,0.071205
YBR168W,0.004755
YBR169C,0.066486
YBR170C,0.16934
YBR171W,0.932285
YBR172C,0.046296
YBR173C,0.551835
YBR175W,0.125142
YBR176W,0.080382
YBR177C,0.520074
YBR179C,0.036939
YBR180W,0.028647
YBR181C,15.965393
YBR182C,0.016151
YBR183W,0.10181
YBR184W,0.008877
YBR185C,0.179344
YBR186W,0.004175
YBR187W,0.474242
YBR188C,0.146563
YBR189W,6.857841
YBR191W,56.128041
YBR192W,0.087251
YBR193C,0.045054
YBR194W,0.094429
YBR195C,0.051893
YBR196C,6.631976
YBR197C,0.025308
YBR198C,0.334408
YBR199W,0.700543
YBR200W,0.111888
YBR201W,0.110074
YBR202W,0.100826
YBR203W,0.016412
YBR204C,0.10435
YBR205W,0.600953
YBR207W,1.011914
YBR208C,0.08128
YBR210W,0.177963
YBR211C,0.078072
YBR212W,0.164536
YBR213W,0.053676
YBR214W,0.125294
YBR215W,0.046993
YBR216C,0.045946
YBR217W,0.034387
YBR218C,0.341398
YBR219C,0.020731
YBR220C,0.108605
YBR221C,1.346457
YBR222C,0.252233
YBR223C,0.014778
YBR225W,0.024765
YBR227C,0.115496
YBR228W,0.022961
YBR229C,0.122925
YBR230C,0.654534
YBR231C,0.189544
YBR233W,0.039641
YBR234C,0.558342
YBR235W,0.076091
YBR236C,0.217388
YBR237W,0.023626
YBR238C,0.060077
YBR239C,0.011355
YBR240C,0.009735
YBR241C,0.365979
YBR242W,0.409875
YBR243C,0.328042
