Gene,phi
YAL002W,0.013326
YAL005C,4.906557
YAL008W,0.303712
YAL012W,5.205346
YAL014C,0.113196
YAL016W,1.003132
YAL020C,0.101885
YAL021C,0.320469
YAL026C,0.012464
YAL028W,0.025819
YAL030W,0.9914
YAL032C,0.02392
YAL034C,0.006294
YAL039C,0.981002
YAL042W,1.907759
YAL044C,4.154134
YAL049C,0.909575
YAL055W,0.357573
YAL056W,0.051966
YAL059W,0.609131
YAL062W,0.118169
YAL063C,0.002768
YAL064W,0.02189
YAL065C,0.009587
YAL067C,0.014364
YAR008W,0.262526
YAR009C,0.83242
YAR014C,0.073461
YAR018C,0.110599
YAR050W,0.005213
YAR066W,0.021271
YAR071W,1.3915
YBL001C,1.197242
YBL003C,3.121582
YBL004W,0.080401
YBL005W,0.084257
YBL006C,0.804073
YBL007C,0.512953
YBL011W,0.224752
YBL014C,0.034089
YBL015W,0.272839
YBL018C,0.462368
YBL019W,0.025661
YBL020W,0.141845
YBL023C,0.07682
YBL027W,12.615662
YBL030C,6.149595
YBL035C,0.168011
YBL036C,0.4707
YBL042C,0.549688
YBL045C,0.718299
YBL049W,0.016026
YBL052C,0.02425
YBL055C,0.393652
YBL057C,0.365864
YBL058W,1.22139
YBL061C,0.249174
YBL078C,0.14076
YBL082C,0.184066
YBL084C,0.051969
YBL091C,1.610447
YBL093C,0.28031
YBL095W,0.120327
YBL097W,0.00689
YBL101C,0.095732
YBL102W,0.327928
YBL103C,0.023744
YBL104C,0.060092
YBL105C,0.036002
YBL111C,0.013284
YBL112C,1.296967
YBR001C,0.074529
YBR008C,0.041084
YBR010W,36.005591
YBR011C,4.994607
YBR012WB,0.036845
YBR013C,0.036388
YBR014C,0.705091
YBR015C,0.312766
YBR017C,0.143798
YBR019C,0.011708
YBR020W,0.005547
YBR021W,0.04791
YBR024W,0.085344
YBR028C,0.034041
YBR029C,0.355296
YBR034C,0.623913
YBR036C,0.874807
YBR043C,0.040374
YBR045C,0.010379
YBR050C,0.079526
YBR053C,0.275706
YBR055C,0.029096
YBR056W,0.194726
YBR065C,0.016512
YBR066C,0.088496
YBR068C,0.409243
YBR069C,1.09653
YBR072W,0.12271
YBR076W,0.009762
YBR077C,0.13517
YBR079C,1.010747
YBR083W,0.367259
YBR084W,0.839634
YBR086C,0.888677
YBR095C,0.182234
YBR097W,0.023935
YBR098W,0.007456
YBR101C,0.665852
YBR103W,0.166568
YBR107C,0.070373
YBR112C,0.188081
YBR120C,0.143025
YBR121C,2.438825
YBR125C,0.171098
YBR127C,1.986147
YBR129C,0.106868
YBR130C,0.103069
YBR135W,0.702612
YBR137W,0.397604
YBR138C,0.008139
YBR140C,0.023866
YBR141C,0.164046
YBR149W,0.76043
YBR154C,1.144752
YBR155W,0.297101
YBR157C,0.038887
YBR160W,0.589201
YBR162WA,3.73328
YBR163W,0.028055
YBR166C,0.312197
YBR172C,0.046296
YBR176W,0.080382
YBR179C,0.036939
YBR187W,0.474242
YBR191W,56.128041
YBR194W,0.094429
YBR195C,0.051893
YBR200W,0.111888
YBR203W,0.016412
YBR207W,1.011914
YBR214W,0.125294
YBR215W,0.046993
YBR218C,0.341398
YBR223C,0.014778
YBR230C,0.654534
YBR233W,0.039641
YBR235W,0.076091
YBR237W,0.023626
YBR240C,0.009735
YBR241C,0.365979
YBR243C,0.328042
YBR244W,0.502822
YBR246W,0.215555
YBR247C,0.354423
YBR248C,0.570563
YBR256C,0.484388
YBR260C,0.095765
YBR267W,0.3601
YBR271W,0.166576
YBR273C,0.304828
YBR274W,0.087673
YBR275C,0.025462
YBR276C,0.100306
YBR279W,0.301305
YBR283C,1.685894
YBR284W,0.012369
YBR288C,0.288547
YBR289W,0.063514
YBR291C,0.119199
YBR294W,0.003501
YBR298C,0.036927
YBR299W,0.026707
YBR301W,0.488661
YBR302C,0.399532
YCL002C,0.042464
YCL005W,0.054909
YCL010C,0.042584
YCL026CA,0.062294
YCL027W,0.050368
YCL036W,0.328811
YCL052C,0.112882
YCL064C,0.918167
YCL067C,0.299834
YCL068C,0.026949
YCL073C,0.039488
YCR002C,1.017992
YCR004C,1.099853
YCR005C,0.517095
YCR008W,0.062246
YCR009C,0.776128
YCR011C,0.297038
YCR012W,54.492843
YCR017C,0.375309
YCR023C,0.109116
YCR024C,0.021906
YCR026C,0.111257
YCR027C,0.024865
YCR032W,0.013992
YCR033W,0.03948
YCR039C,0.457929
YCR040W,0.078195
YCR042C,0.052317
YCR043C,0.149498
YCR044C,0.328579
YCR051W,1.063696
YCR059C,0.310651
YCR060W,0.378536
YCR072C,0.318749
YCR079W,0.085797
YCR091W,0.010006
YCR094W,0.050268
YCR096C,0.278916
YCR104W,0.615816
YDL001W,0.098543
YDL004W,0.874888
YDL006W,0.074037
YDL007W,1.493307
YDL008W,0.404789
YDL020C,0.04946
YDL022W,2.550793
YDL024C,0.02226
YDL025C,0.021155
YDL027C,0.01073
YDL028C,0.015842
YDL031W,0.394624
YDL033C,0.042034
YDL039C,0.126393
YDL040C,0.437599
YDL043C,0.086215
YDL054C,0.145021
YDL056W,0.036952
YDL061C,3.74991
YDL065C,0.198613
YDL075W,19.852337
YDL077C,0.049265
YDL078C,0.787549
YDL084W,1.393093
YDL085W,0.047026
YDL089W,0.030976
YDL090C,0.088695
YDL091C,0.035382
YDL098C,0.077514
YDL099W,0.25847
YDL100C,1.620151
YDL101C,0.104414
YDL107W,0.012895
YDL109C,0.031417
YDL112W,0.31764
YDL113C,0.015692
YDL120W,0.027879
YDL121C,0.421789
YDL123W,0.088417
YDL124W,1.55325
YDL125C,2.595557
YDL127W,0.045966
YDL129W,0.028726
YDL130W,65.648125
YDL132W,0.387812
YDL134C,0.18459
YDL136W,13.094669
YDL148C,0.232979
YDL150W,0.178371
YDL153C,0.961365
YDL165W,0.797832
YDL169C,0.035984
YDL174C,0.601789
YDL176W,0.006609
YDL178W,0.213833
YDL184C,2.665841
YDL185W,2.288516
YDL188C,0.421455
YDL191W,12.639648
YDL192W,12.608456
YDL194W,0.027796
YDL197C,0.093078
YDL200C,0.191738
YDL204W,0.010784
YDL206W,0.011263
YDL215C,0.028836
YDL218W,0.007932
YDL219W,0.342824
YDL225W,0.242968
YDL226C,0.575856
YDL229W,47.964631
YDL235C,0.334514
YDL240W,0.005641
YDL244W,0.077832
YDR002W,4.042364
YDR011W,0.399531
YDR014W,0.004523
YDR019C,0.339071
YDR020C,0.026915
YDR022C,0.022869
YDR025W,13.340733
YDR027C,0.068096
YDR028C,0.147438
YDR031W,0.181109
YDR032C,2.869017
YDR037W,2.636696
YDR051C,0.335411
YDR054C,0.127069
YDR055W,1.811457
YDR056C,0.469694
YDR058C,0.091694
YDR062W,0.999773
YDR066C,0.071469
YDR068W,0.265583
YDR070C,0.048168
YDR071C,1.324369
YDR072C,0.604528
YDR073W,0.00903
YDR075W,0.048038
YDR077W,11.127208
YDR081C,0.014651
YDR086C,1.117109
YDR091C,0.570374
YDR092W,1.335837
YDR097C,0.157163
YDR101C,0.62551
YDR103W,0.035334
YDR105C,0.358518
YDR110W,0.081449
YDR113C,0.091393
YDR116C,0.210117
YDR117C,0.113193
YDR118W,0.013193
YDR120C,0.482939
YDR123C,0.035768
YDR124W,0.013814
YDR125C,0.007199
YDR127W,0.346216
YDR128W,0.022274
YDR130C,0.068227
YDR131C,0.035746
YDR132C,0.02297
YDR138W,0.030231
YDR139C,1.39579
YDR142C,0.013657
YDR148C,0.274579
YDR150W,0.046389
YDR151C,0.10641
YDR152W,0.471956
YDR155C,11.972761
YDR160W,0.014256
YDR162C,0.195269
YDR164C,0.082084
YDR166C,0.022796
YDR170C,0.371622
