A.GCA,A.GCC,A.GCG,C.TGC,D.GAC,E.GAA,F.TTC,G.GGA,G.GGC,G.GGG,H.CAC,I.ATA,I.ATC,K.AAA,L.CTA,L.CTC,L.CTG,L.CTT,L.TTA,N.AAC,P.CCA,P.CCC,P.CCG,Q.CAA,R.AGA,R.AGG,R.CGA,R.CGC,R.CGG,S.TCA,S.TCC,S.TCG,T.ACA,T.ACC,T.ACG,V.GTA,V.GTC,V.GTG,Y.TAC,Z.AGT,
-0.488882,-0.140091,-0.570081,-0.308705,0.131618,0.270651,0.215991,-0.902824,-0.477886,-0.761175,0.212174,-0.850327,0.0993826,-0.272242,-0.288725,-0.783022,-0.504006,-0.500902,-0.234035,0.343087,0.251598,-0.290737,-0.617357,0.294301,0.10264,-0.573066,-1.69081,-0.701412,-1.70716,-0.416054,0.0145845,-0.515013,-0.408662,0.0541598,-0.642169,-0.489417,0.232688,-0.437435,0.310432,-0.0275017,
-0.473039,-0.135248,-0.305949,-0.0226662,0.04621,0.15536,-0.0181357,-0.817197,-0.44776,-0.733006,0.0939397,-0.452096,-0.192502,-0.111245,-0.303203,-0.527924,-0.559132,-0.566744,-0.101831,0.127779,0.089745,-0.22212,-0.16913,0.0762313,-0.0236179,-0.618113,-1.56747,-0.782643,-1.65149,-0.267874,-0.151606,-0.393882,-0.371137,0.0953856,-0.376,-0.43881,0.245938,-0.324051,-0.0417863,0.0561004,
-0.439395,-0.157726,-0.398477,-0.103438,0.04621,0.0213585,-0.0237772,-0.79561,-0.495804,-0.75006,0.121759,-0.336146,-0.186182,-0.0917039,-0.527707,-0.546537,-0.583473,-0.687956,-0.180186,0.0133748,0.0806829,-0.184682,-0.160693,0.0200308,-0.0142784,-0.818821,-1.4803,-0.856186,-1.38818,-0.205167,-0.215419,-0.292034,-0.264994,0.183411,-0.253925,-0.322219,-0.162973,-0.314217,0.0741412,-0.0404279,
-0.293948,-0.0483765,-0.35166,-0.0424538,0.04621,0.0213585,0.068656,-0.770591,-0.528347,-0.714467,0.05612,-0.192294,-0.183523,0.112471,-0.556503,-0.371053,-0.611333,-0.630345,-0.185836,0.0604078,0.134362,-0.100177,-0.0952564,-0.0346022,-0.0218165,-0.926683,-1.43373,-0.957962,-1.31325,-0.266699,-0.233795,-0.2994,-0.114888,-0.045267,-0.03485,-0.322219,-0.162973,-0.314217,-0.118651,0.0843131,
-0.327516,-0.0320509,-0.3826,-0.0668163,-0.0208982,0.0213585,0.0742748,-0.770591,-0.528347,-0.714467,0.0775129,-0.0594144,0.0678431,-0.159202,-0.487341,-0.492924,-0.579243,-0.608294,-0.102146,0.0535295,0.0417477,-0.13493,0.000783997,-0.0380765,0.0957406,-0.757152,-1.65195,-1.0711,-1.40487,-0.266699,-0.233795,-0.2994,-0.0901451,-0.052165,-0.0570864,-0.438078,-0.259504,-0.546905,0.0405895,0.0660461,
-0.307745,-0.152074,-0.219897,-0.0755505,-0.0247763,0.0546612,0.191959,-0.703506,-0.678463,-0.574361,0.0775129,-0.0322425,0.280807,-0.0524064,-0.449501,-0.636942,-0.663671,-0.511851,-0.0994245,0.0836498,0.0789369,0.0628743,0.0571981,-0.00917673,0.285964,-0.910632,-1.55384,-1.03378,-1.39306,-0.174872,-0.220778,-0.139649,-0.0455837,-0.165477,-0.0704544,-0.695783,-0.411726,-0.578402,0.0857249,0.101517,
-0.31755,0.0443864,-0.226335,-0.194161,0.11169,0.0546612,0.191959,-0.728473,-0.674688,-0.665628,0.0775129,-0.210184,0.106343,-0.172385,-0.329986,-0.67248,-0.690347,-0.633988,-0.0927156,0.0836498,0.187332,0.10758,-0.126258,0.131113,0.447819,-1.02841,-1.51559,-0.97788,-1.33308,-0.310665,-0.208396,-0.252934,0.0275537,-0.0695046,-0.17428,-0.63561,-0.444091,-0.425908,0.112659,0.101517,
-0.195182,-0.0569253,-0.222414,-0.194161,0.11169,0.0546612,0.191959,-0.728473,-0.674688,-0.665628,0.0775129,-0.312678,0.112941,-0.172385,-0.329986,-0.67248,-0.690347,-0.633988,-0.0927156,0.0836498,0.187332,0.10758,-0.126258,0.127664,0.331948,-1.03114,-1.63858,-1.1033,-1.29,-0.133562,-0.151743,-0.204217,-0.0543444,-0.0310862,-0.176678,-0.63561,-0.444091,-0.425908,0.112659,0.101517,
-0.195182,-0.0569253,-0.222414,-0.170308,0.11169,0.151426,0.191959,-0.73332,-0.65234,-0.582011,0.194684,-0.438104,0.0823317,-0.224084,-0.23961,-0.707113,-0.599947,-0.612663,-0.0973282,0.0836498,0.187332,0.10758,-0.126258,0.127664,0.527624,-1.00936,-1.59543,-1.12492,-1.31225,-0.133562,-0.151743,-0.204217,-0.0543444,-0.0310862,-0.176678,-0.521032,-0.290783,-0.333131,0.174811,0.101517,
-0.195182,-0.0569253,-0.222414,-0.170308,0.147948,0.151426,0.191959,-0.713821,-0.518503,-0.543788,0.194684,-0.438104,0.0823317,-0.224084,-0.23961,-0.707113,-0.599947,-0.612663,-0.0973282,0.132645,0.187332,0.10758,-0.126258,0.114546,0.358297,-0.949745,-1.58702,-1.06171,-1.36085,-0.263497,-0.225534,-0.252501,-0.0443329,-0.046929,-0.22844,-0.574011,-0.277119,-0.346536,0.174811,-0.0718477,
