A.GCA,A.GCC,A.GCG,C.TGC,D.GAC,E.GAA,F.TTC,G.GGA,G.GGC,G.GGG,H.CAC,I.ATA,I.ATC,K.AAA,L.CTA,L.CTC,L.CTG,L.CTT,L.TTA,N.AAC,P.CCA,P.CCC,P.CCG,Q.CAA,R.AGA,R.AGG,R.CGA,R.CGC,R.CGG,S.TCA,S.TCC,S.TCG,T.ACA,T.ACC,T.ACG,V.GTA,V.GTC,V.GTG,Y.TAC,Z.AGT,
-0.874344,-1.08418,-1.40027,-1.36858,-1.53931,1.26688,0.135267,0.0490975,-1.70883,-0.786879,-1.19674,0.362823,-1.09341,0.987818,0.533375,-0.518988,-1.8007,0.46798,2.13151,-1.92484,-0.508295,-1.45356,-1.60827,1.64031,-0.804486,-1.42901,0.25319,-1.23271,-1.4008,0.298179,-0.715903,-1.03792,-0.914442,-1.39422,-1.60159,0.98654,-0.490029,-1.41411,-1.6021,-1.68403,
-1.02805,-1.24873,-1.27655,-1.74047,-1.57408,1.40656,-0.0381434,0.000383798,-1.76253,-0.895716,-1.24763,0.39828,-1.06542,0.996134,0.300312,-0.512533,-1.54421,0.543137,2.09473,-1.75282,-0.615517,-1.24416,-1.79557,1.43985,-0.536858,-1.65622,0.0711017,-1.17969,-1.35978,0.320595,-0.637142,-1.24813,-0.663131,-1.53389,-1.62529,1.01431,-0.551072,-1.5826,-1.86745,-1.59358,
-0.759421,-1.22547,-1.2103,-1.49719,-1.7659,1.36466,0.169635,-0.189061,-1.60718,-0.975674,-1.28274,0.336376,-1.1808,1.11105,0.281352,-0.539566,-1.58009,0.193072,2.04616,-1.6789,-0.731062,-1.29201,-1.81226,1.8294,-0.443222,-1.52481,0.0206486,-1.24911,-1.15372,0.314448,-0.94931,-1.13121,-0.812269,-1.69644,-1.59412,0.95963,-0.329851,-1.67782,-1.77024,-1.46876,
-0.953693,-1.25589,-1.07169,-1.45581,-1.56655,1.06258,0.208874,0.00757053,-1.64869,-0.666188,-1.28741,0.317113,-1.05327,1.00057,0.275588,-0.516238,-1.62748,-0.0750449,2.30513,-1.74847,-0.797325,-1.73125,-1.6178,1.60676,-0.640745,-1.37362,0.0367593,-1.06201,-0.932043,0.314448,-0.94931,-1.13121,-1.11246,-1.86344,-1.66411,0.555319,-0.337608,-1.57872,-1.54276,-1.46281,
-1.33412,-1.49145,-1.30259,-1.27643,-1.57875,1.06258,0.187442,0.00757053,-1.64869,-0.666188,-1.28741,0.317113,-1.05327,0.894393,0.32697,-0.438218,-1.5632,0.023082,2.3345,-1.77314,-0.946809,-1.60978,-1.49393,1.46514,-0.770896,-1.21162,-0.31375,-1.10857,-1.09624,0.460428,-0.91755,-1.14221,-1.32096,-1.83173,-1.75936,0.670532,-0.519521,-1.60505,-1.61924,-1.45137,
-1.31555,-1.53291,-1.14297,-1.32465,-1.52835,1.07988,0.187442,0.0992323,-1.73285,-0.718118,-1.2978,0.284695,-1.09453,0.927184,0.20615,-0.609155,-1.76058,0.0316293,2.39689,-1.85022,-1.00932,-1.58131,-1.6166,1.47029,-0.902742,-1.40563,-0.149948,-0.951484,-0.985717,0.460428,-0.91755,-1.14221,-1.32096,-1.83173,-1.75936,0.510849,-0.497459,-1.45601,-1.74793,-1.45137,
-1.13299,-1.47717,-1.33641,-1.22984,-1.4626,1.07988,0.187442,0.108196,-1.64297,-0.941544,-1.3075,0.40639,-1.11979,0.927184,0.456433,-0.588683,-1.64418,-0.055182,2.35296,-1.85022,-0.93597,-1.38267,-1.54528,1.42824,-0.882551,-1.28729,-0.121902,-0.894301,-0.976814,0.25297,-0.586445,-0.774963,-1.2924,-1.95977,-1.77404,0.612235,-0.374424,-1.46217,-1.74793,-1.49425,
-1.13299,-1.47717,-1.33641,-1.22984,-1.54975,1.07988,0.187442,0.0470506,-1.62539,-0.86297,-1.24986,0.438359,-1.02152,1.03504,0.456433,-0.588683,-1.64418,-0.055182,2.35296,-1.79609,-0.93597,-1.38267,-1.54528,1.43685,-0.757633,-0.924216,0.0482911,-0.788033,-0.774776,0.194677,-0.677843,-0.847027,-1.31354,-1.86037,-1.82854,0.639184,-0.409872,-1.36328,-1.64983,-1.49425,
-0.990082,-1.32762,-1.191,-1.22984,-1.62608,1.0877,0.125749,0.0653593,-1.61216,-0.717685,-1.24986,0.577375,-1.09839,0.945262,0.642646,-0.736249,-1.70322,0.0665935,2.38388,-1.79122,-0.93597,-1.38267,-1.54528,1.45634,-0.734697,-0.915954,0.0212834,-0.664302,-0.731464,0.194677,-0.677843,-0.847027,-1.32364,-1.88273,-1.92186,0.406181,-0.356674,-1.18329,-1.68349,-1.47818,
-0.990082,-1.32762,-1.191,-1.14538,-1.58436,1.0877,0.125749,0.0824913,-1.63044,-0.475869,-1.4059,0.624299,-1.10896,0.877283,0.528914,-0.605503,-1.7569,-0.0614146,2.33567,-1.77588,-0.889498,-1.15608,-1.45586,1.45634,-0.754177,-0.931931,-0.00498383,-0.699785,-0.683212,0.194677,-0.677843,-0.847027,-1.16002,-1.63871,-1.61882,0.400235,-0.599592,-1.16397,-1.68349,-1.55007,
