A.GCA,A.GCC,A.GCG,C.TGC,D.GAC,E.GAA,F.TTC,G.GGA,G.GGC,G.GGG,H.CAC,I.ATA,I.ATC,K.AAA,L.CTA,L.CTC,L.CTG,L.CTT,L.TTA,N.AAC,P.CCA,P.CCC,P.CCG,Q.CAA,R.AGA,R.AGG,R.CGA,R.CGC,R.CGG,S.TCA,S.TCC,S.TCG,T.ACA,T.ACC,T.ACG,V.GTA,V.GTC,V.GTG,Y.TAC,Z.AGT,
0.323584,-0.381982,-0.710487,0.110045,-0.589988,0.368744,-0.689096,-0.207591,-0.527314,-0.714783,-0.646868,0.0470236,-0.59893,0.323197,-0.194036,-1.18417,-0.326647,-0.277328,0.356462,-0.617785,-0.182637,-0.266583,-0.704828,0.589201,2.047,0.582635,1.17179,-0.844919,0.285651,-0.027166,-0.69277,-0.413953,0.81598,-0.28431,-0.613441,-0.129242,-0.907455,0.132471,-0.906449,-0.371469,
0.564814,-0.339027,-0.688457,0.0700886,-0.770445,0.156332,-0.368593,-0.250757,-0.752978,-0.783555,-0.794598,0.0817147,-0.77883,0.373735,-0.140384,-1.05554,-0.406828,-0.223429,0.444112,-0.557313,-0.203031,-0.268143,-0.749852,0.366085,1.91214,0.573876,1.33434,-0.624897,0.429551,-0.115824,-0.783915,-0.378816,0.800417,0.0282805,-0.64665,-0.0931083,-0.85451,-0.145626,-1.01347,-0.452021,
0.639781,-0.541883,-0.339137,0.160638,-0.770445,0.306412,-0.640301,0.00829743,-0.738339,-0.624368,-0.333905,0.0167008,-0.956602,0.579152,-0.233872,-0.817827,-0.269935,-0.335571,0.42673,-0.624949,-0.535747,-0.167643,-0.542482,0.275103,1.99378,0.433989,1.57691,-0.193696,0.465348,-0.385347,-0.888227,-0.304474,0.680605,-0.0565708,-0.698042,0.153359,-0.729779,-0.318096,-0.987308,-0.132208,
0.635601,-0.634025,-0.387648,0.0788354,-0.787567,0.324798,-0.785096,0.0727042,-0.433062,-0.547579,-0.652669,0.300928,-0.842025,0.776563,-0.21177,-0.646149,-0.333181,-0.325001,0.451066,-0.875484,-0.319429,-0.355017,-0.145445,0.168633,1.89023,0.832221,1.45306,-0.193724,0.211042,-0.0237577,-0.83781,-0.520486,0.700697,-0.290696,-0.670874,0.272084,-0.871905,-0.159406,-0.86717,0.0650896,
0.635601,-0.634025,-0.387648,0.0938465,-0.813865,-0.0223819,-0.785096,0.309646,-0.342249,-0.579051,-0.662469,0.369594,-0.930224,0.81758,-0.21177,-0.646149,-0.333181,-0.325001,0.451066,-0.962619,-0.520275,-0.254609,-0.193669,0.103494,1.82304,1.00152,1.29223,-0.249524,0.314295,-0.0560723,-0.691595,-0.187831,0.616656,-0.535516,-0.725491,0.336525,-1.11723,-0.250811,-0.86717,0.143306,
0.609939,-0.374983,-0.194189,0.18842,-0.813865,0.191605,-0.864265,0.649511,0.122596,-0.322369,-0.925875,0.614678,-0.778141,0.81758,-0.0150298,-0.582858,-0.328447,-0.168877,0.422864,-0.962619,-0.634127,-0.369916,-0.221297,0.0271769,1.65517,1.01717,1.32604,-0.0729752,0.73683,0.0550528,-0.65114,-0.143451,0.485151,-0.447788,-0.27646,0.301852,-0.991198,-0.350074,-0.849602,0.28856,
0.535369,-0.306536,-0.067733,0.18842,-0.849787,0.188473,-0.834959,0.662122,-0.0521148,-0.00713065,-0.925875,0.588975,-0.751295,0.78201,-0.0150298,-0.582858,-0.328447,-0.168877,0.422864,-1.00613,-0.509271,-0.416995,-0.235732,0.0966993,1.23605,1.20774,1.36437,-0.0789858,0.825026,0.0550528,-0.65114,-0.143451,0.587214,-0.569543,-0.330753,0.375124,-0.806954,-0.196807,-0.886338,0.309745,
0.604166,-0.469969,0.0213397,0.167289,-0.849787,0.217528,-0.834959,0.612415,0.0301082,0.166221,-0.925875,0.484472,-0.899777,0.78201,-0.0965042,-0.471794,-0.180771,-0.0258881,0.39852,-1.01035,-0.509271,-0.416995,-0.235732,0.0966993,1.00003,1.40346,1.30209,0.0480221,0.813451,0.274365,-0.615869,-0.0494626,0.581084,-0.539748,-0.0472698,0.401688,-0.784716,-0.170153,-0.886338,0.30432,
0.320165,-0.47277,0.10604,0.167289,-0.860584,0.30907,-0.844585,0.87288,0.19176,0.217058,-0.975077,0.545355,-0.880666,0.817998,-0.233821,-0.395132,-0.0157067,-0.026588,0.404304,-0.98214,-0.509271,-0.416995,-0.235732,0.0501298,1.03448,1.31449,1.43625,0.143662,0.824925,0.461773,-0.460049,-0.132886,0.470076,-0.613071,-0.0918165,0.401688,-0.784716,-0.170153,-0.851631,0.302496,
0.47606,-0.402423,-0.0703631,0.154706,-0.884022,0.30907,-0.948076,1.05502,0.158834,0.217495,-0.975077,0.721188,-0.827813,0.874477,-0.14907,-0.380059,-0.00321833,-0.12212,0.388837,-0.98214,-0.509271,-0.416995,-0.235732,0.0585312,0.952473,1.4989,1.57246,0.222057,0.878114,0.586845,-0.441106,-0.00773768,0.470076,-0.613071,-0.0918165,0.318037,-0.882552,-0.174424,-0.862375,0.302496,
