A.GCA,A.GCC,A.GCG,C.TGC,D.GAC,E.GAA,F.TTC,G.GGA,G.GGC,G.GGG,H.CAC,I.ATA,I.ATC,K.AAA,L.CTA,L.CTC,L.CTG,L.CTT,L.TTA,N.AAC,P.CCA,P.CCC,P.CCG,Q.CAA,R.AGA,R.AGG,R.CGA,R.CGC,R.CGG,S.TCA,S.TCC,S.TCG,T.ACA,T.ACC,T.ACG,V.GTA,V.GTC,V.GTG,Y.TAC,Z.AGT,
0.728302,0.291632,1.27976,0.796609,0.257104,-0.79148,-0.106153,0.792277,0.977489,1.38051,0.087766,0.366362,0.0772738,-0.0356145,0.38398,1.17288,1.45748,0.577081,0.0878102,0.160379,0.0197491,1.02207,1.37508,-0.931565,-0.216048,0.70295,0.765411,0.812788,1.78176,0.390388,0.261017,1.18374,0.710871,0.287796,1.32583,0.334893,0.0720326,0.859539,0.0306561,0.745932,
0.728302,0.291632,1.27976,0.824687,0.257104,-0.79148,-0.106153,0.792277,0.977489,1.38051,0.087766,0.366362,0.0772738,-0.219589,0.38398,1.17288,1.45748,0.577081,0.0878102,0.219939,0.0197491,1.02207,1.37508,-0.850229,-0.216048,0.70295,0.765411,0.812788,1.78176,0.390388,0.261017,1.18374,0.710871,0.287796,1.32583,0.334893,0.0720326,0.859539,0.157696,0.739295,
0.728302,0.291632,1.27976,0.87012,0.361388,-0.693682,-0.106153,0.792277,0.977489,1.38051,0.087766,0.366362,0.0772738,-0.219589,0.38398,1.17288,1.45748,0.577081,0.0878102,0.239245,0.0197491,1.02207,1.37508,-0.850229,-0.216048,0.70295,0.765411,0.812788,1.78176,0.390388,0.261017,1.18374,0.710871,0.287796,1.32583,0.334893,0.0720326,0.859539,0.157696,0.962657,
0.728302,0.291632,1.27976,0.87012,0.44302,-0.693682,-0.106153,0.792277,0.977489,1.38051,0.277321,0.366362,0.0772738,-0.219589,0.38398,1.17288,1.45748,0.577081,0.0878102,0.239245,0.0197491,1.02207,1.37508,-0.850229,-0.216048,0.70295,0.765411,0.812788,1.78176,0.390388,0.261017,1.18374,0.710871,0.287796,1.32583,0.334893,0.0720326,0.859539,0.157696,1.23084,
0.728302,0.291632,1.27976,0.87012,0.44302,-0.620635,-0.106153,0.792277,0.977489,1.38051,0.277321,0.366362,0.0772738,-0.271394,0.38398,1.17288,1.45748,0.577081,0.0878102,0.239245,0.0197491,1.02207,1.37508,-0.873105,-0.216048,0.70295,0.765411,0.812788,1.78176,0.390388,0.261017,1.18374,0.710871,0.287796,1.32583,0.334893,0.0720326,0.859539,0.154573,0.980568,
0.728302,0.291632,1.27976,0.87012,0.44302,-0.702365,-0.106153,0.792277,0.977489,1.38051,0.277321,0.366362,0.0772738,-0.271394,0.38398,1.17288,1.45748,0.577081,0.0878102,0.296774,0.0197491,1.02207,1.37508,-0.825825,-0.216048,0.70295,0.765411,0.812788,1.78176,0.390388,0.261017,1.18374,0.710871,0.287796,1.32583,0.334893,0.0720326,0.859539,0.226421,1.1701,
0.728302,0.291632,1.27976,1.05939,0.44302,-0.702365,-0.106153,0.792277,0.977489,1.38051,0.275829,0.366362,0.0772738,-0.338363,0.38398,1.17288,1.45748,0.577081,0.0878102,0.309649,0.0197491,1.02207,1.37508,-0.825825,-0.216048,0.70295,0.765411,0.812788,1.78176,0.390388,0.261017,1.18374,0.710871,0.287796,1.32583,0.334893,0.0720326,0.859539,0.226421,1.41473,
0.728302,0.291632,1.27976,1.05939,0.44302,-0.702365,-0.106153,0.792277,0.977489,1.38051,0.22875,0.366362,0.0772738,-0.269691,0.38398,1.17288,1.45748,0.577081,0.0878102,0.309649,0.0197491,1.02207,1.37508,-0.825825,-0.216048,0.70295,0.765411,0.812788,1.78176,0.390388,0.261017,1.18374,0.710871,0.287796,1.32583,0.334893,0.0720326,0.859539,0.226421,1.31058,
0.728302,0.291632,1.27976,1.05939,0.44302,-0.702365,-0.106153,0.792277,0.977489,1.38051,0.300504,0.443914,0.0168156,-0.163163,0.38398,1.17288,1.45748,0.577081,0.0878102,0.309649,0.0197491,1.02207,1.37508,-0.825825,-0.216048,0.70295,0.765411,0.812788,1.78176,0.390388,0.261017,1.18374,0.710871,0.287796,1.32583,0.334893,0.0720326,0.859539,0.273475,1.2662,
0.728302,0.291632,1.27976,1.05939,0.44302,-0.702365,-0.106153,0.792277,0.977489,1.38051,0.300504,0.443914,0.0168156,-0.163163,0.38398,1.17288,1.45748,0.577081,0.0878102,0.309649,0.0197491,1.02207,1.37508,-0.825825,-0.216048,0.70295,0.765411,0.812788,1.78176,0.390388,0.261017,1.18374,0.710871,0.287796,1.32583,0.334893,0.0720326,0.859539,0.19518,0.881549,
0.728302,0.291632,1.27976,1.05939,0.44302,-0.702365,-0.106153,0.792277,0.977489,1.38051,0.300504,0.443914,0.0168156,-0.163163,0.38398,1.17288,1.45748,0.577081,0.0878102,0.30586,0.0197491,1.02207,1.37508,-0.825825,-0.216048,0.70295,0.765411,0.812788,1.78176,0.390388,0.261017,1.18374,0.710871,0.287796,1.32583,0.334893,0.0720326,0.859539,0.19518,0.514788,
0.728302,0.291632,1.27976,0.992736,0.44302,-0.702365,-0.106153,0.792277,0.977489,1.38051,0.300504,0.584179,0.0425762,-0.163163,0.38398,1.17288,1.45748,0.577081,0.0878102,0.30586,0.0197491,1.02207,1.37508,-0.825825,-0.216048,0.70295,0.765411,0.812788,1.78176,0.390388,0.261017,1.18374,0.710871,0.287796,1.32583,0.334893,0.0720326,0.859539,0.19518,0.292744,
0.728302,0.291632,1.27976,1.03121,0.44302,-0.702365,-0.106153,0.792277,0.977489,1.38051,0.300504,0.584693,0.143285,-0.163163,0.38398,1.17288,1.45748,0.577081,0.0878102,0.30586,0.0197491,1.02207,1.37508,-0.825825,-0.216048,0.70295,0.765411,0.812788,1.78176,0.390388,0.261017,1.18374,0.710871,0.287796,1.32583,0.334893,0.0720326,0.859539,0.19518,0.195081,
0.728302,0.291632,1.27976,0.934268,0.44302,-0.702365,-0.106153,0.792277,0.977489,1.38051,0.300504,0.584693,0.143285,-0.163163,0.38398,1.17288,1.45748,0.577081,0.0878102,0.321618,0.0197491,1.02207,1.37508,-0.825825,-0.216048,0.70295,0.765411,0.812788,1.78176,0.390388,0.261017,1.18374,0.710871,0.287796,1.32583,0.334893,0.0720326,0.859539,0.208912,0.0791525,
0.728302,0.291632,1.27976,0.853035,0.44302,-0.702365,-0.106153,0.792277,0.977489,1.38051,0.300504,0.60999,0.145788,-0.163163,0.38398,1.17288,1.45748,0.577081,0.0878102,0.321618,0.0197491,1.02207,1.37508,-0.825825,-0.216048,0.70295,0.765411,0.812788,1.78176,0.390388,0.261017,1.18374,0.710871,0.287796,1.32583,0.334893,0.0720326,0.859539,0.208912,-0.0843008,
0.728302,0.291632,1.27976,0.946236,0.408765,-0.702365,-0.157399,0.792277,0.977489,1.38051,0.250845,0.60999,0.145788,-0.2583,0.38398,1.17288,1.45748,0.577081,0.0878102,0.308607,0.0197491,1.02207,1.37508,-0.825825,-0.216048,0.70295,0.765411,0.812788,1.78176,0.390388,0.261017,1.18374,0.710871,0.287796,1.32583,0.334893,0.0720326,0.859539,0.250971,-0.0843008,
0.728302,0.291632,1.27976,0.745254,0.408765,-0.702365,-0.157399,0.792277,0.977489,1.38051,0.255371,0.60999,0.145788,-0.179004,0.38398,1.17288,1.45748,0.577081,0.0878102,0.308607,0.0197491,1.02207,1.37508,-0.825825,-0.216048,0.70295,0.765411,0.812788,1.78176,0.390388,0.261017,1.18374,0.710871,0.287796,1.32583,0.334893,0.0720326,0.859539,0.233319,-0.0843008,
0.728302,0.291632,1.27976,0.787003,0.408765,-0.702365,-0.157399,0.792277,0.977489,1.38051,0.255371,0.60999,0.145788,-0.179004,0.38398,1.17288,1.45748,0.577081,0.0878102,0.308607,0.0197491,1.02207,1.37508,-0.825825,-0.216048,0.70295,0.765411,0.812788,1.78176,0.390388,0.261017,1.18374,0.710871,0.287796,1.32583,0.334893,0.0720326,0.859539,0.233319,-0.119679,
0.728302,0.291632,1.27976,0.780723,0.408765,-0.761876,-0.125865,0.792277,0.977489,1.38051,0.255371,0.60999,0.145788,-0.179004,0.38398,1.17288,1.45748,0.577081,0.0878102,0.281356,0.0197491,1.02207,1.37508,-0.825825,-0.216048,0.70295,0.765411,0.812788,1.78176,0.390388,0.261017,1.18374,0.710871,0.287796,1.32583,0.334893,0.0720326,0.859539,0.233319,-0.541196,
0.728302,0.291632,1.27976,0.809149,0.408765,-0.761876,-0.125865,0.792277,0.977489,1.38051,0.331821,0.60999,0.145788,-0.179004,0.38398,1.17288,1.45748,0.577081,0.0878102,0.281356,0.0197491,1.02207,1.37508,-0.825825,-0.216048,0.70295,0.765411,0.812788,1.78176,0.390388,0.261017,1.18374,0.710871,0.287796,1.32583,0.334893,0.0720326,0.859539,0.202709,-0.541196,
0.728302,0.291632,1.27976,0.83787,0.408765,-0.761876,-0.125865,0.792277,0.977489,1.38051,0.301332,0.60999,0.145788,-0.179004,0.38398,1.17288,1.45748,0.577081,0.0878102,0.281356,0.0197491,1.02207,1.37508,-0.825825,-0.216048,0.70295,0.765411,0.812788,1.78176,0.390388,0.261017,1.18374,0.710871,0.287796,1.32583,0.334893,0.0720326,0.859539,0.202709,-0.514938,
0.728302,0.291632,1.27976,0.947084,0.408765,-0.761876,-0.0959518,0.792277,0.977489,1.38051,0.288134,0.60999,0.145788,-0.179004,0.38398,1.17288,1.45748,0.577081,0.0878102,0.312079,0.0197491,1.02207,1.37508,-0.825825,-0.216048,0.70295,0.765411,0.812788,1.78176,0.390388,0.261017,1.18374,0.710871,0.287796,1.32583,0.339407,0.0426106,0.816448,0.174711,-0.65154,
0.728302,0.291632,1.27976,0.984321,0.408765,-0.831297,-0.0959518,0.792277,0.977489,1.38051,0.361933,0.60999,0.145788,-0.25802,0.38398,1.17288,1.45748,0.577081,0.0878102,0.348517,0.0197491,1.02207,1.37508,-0.950133,-0.216048,0.70295,0.765411,0.812788,1.78176,0.390388,0.261017,1.18374,0.710871,0.287796,1.32583,0.339407,0.0426106,0.816448,0.174711,-0.65154,
0.728302,0.291632,1.27976,0.984321,0.408765,-0.831297,-0.0991657,0.792277,0.977489,1.38051,0.339652,0.56101,0.193122,-0.25802,0.38398,1.17288,1.45748,0.577081,0.0878102,0.348517,0.0197491,1.02207,1.37508,-0.950133,-0.216048,0.70295,0.765411,0.812788,1.78176,0.390388,0.261017,1.18374,0.710871,0.287796,1.32583,0.339407,0.0426106,0.816448,0.274799,-0.65154,
0.728302,0.291632,1.27976,0.959474,0.408765,-0.831297,-0.0991657,0.792277,0.977489,1.38051,0.348549,0.56101,0.193122,-0.197194,0.38398,1.17288,1.45748,0.577081,0.0878102,0.348517,0.0197491,1.02207,1.37508,-0.978416,-0.216048,0.70295,0.765411,0.812788,1.78176,0.390388,0.261017,1.18374,0.660781,0.377129,1.40173,0.339407,0.0426106,0.816448,0.325055,-0.65154,
0.728302,0.291632,1.27976,0.966778,0.408765,-0.831297,-0.207461,0.792277,0.977489,1.38051,0.348549,0.56101,0.193122,-0.240363,0.38398,1.17288,1.45748,0.577081,0.0878102,0.348517,0.0197491,1.02207,1.37508,-0.978416,-0.216048,0.70295,0.765411,0.812788,1.78176,0.390388,0.261017,1.18374,0.660781,0.377129,1.40173,0.339407,0.0426106,0.816448,0.325055,-0.573472,
0.728302,0.291632,1.27976,0.966778,0.408765,-0.831297,-0.148204,0.792277,0.977489,1.38051,0.343015,0.544567,0.179545,-0.297698,0.38398,1.17288,1.45748,0.577081,0.0878102,0.295785,0.0197491,1.02207,1.37508,-0.978416,-0.216048,0.70295,0.765411,0.812788,1.78176,0.390388,0.261017,1.18374,0.660781,0.377129,1.40173,0.339407,0.0426106,0.816448,0.247564,-0.585745,
0.728302,0.291632,1.27976,0.957723,0.408765,-0.827436,-0.148204,0.792277,0.977489,1.38051,0.43796,0.544567,0.179545,-0.297698,0.38398,1.17288,1.45748,0.577081,0.0878102,0.295785,0.0197491,1.02207,1.37508,-0.978416,-0.216048,0.70295,0.765411,0.812788,1.78176,0.390388,0.261017,1.18374,0.660781,0.377129,1.40173,0.339407,0.0426106,0.816448,0.226084,-0.70945,
0.728302,0.291632,1.27976,0.930437,0.408765,-0.858171,-0.182946,0.792277,0.977489,1.38051,0.43796,0.522335,0.156075,-0.297698,0.38398,1.17288,1.45748,0.577081,0.0878102,0.295785,0.0197491,1.02207,1.37508,-0.904869,-0.216048,0.70295,0.765411,0.812788,1.78176,0.390388,0.261017,1.18374,0.660781,0.377129,1.40173,0.339407,0.0426106,0.816448,0.226084,-0.752479,
0.728302,0.291632,1.27976,0.968506,0.408765,-0.858171,-0.0977699,0.791563,0.994552,1.41793,0.367664,0.522335,0.156075,-0.262601,0.38398,1.17288,1.45748,0.577081,0.0878102,0.295785,0.0197491,1.02207,1.37508,-0.897499,-0.216048,0.70295,0.765411,0.812788,1.78176,0.382,0.2031,1.14818,0.660781,0.377129,1.40173,0.339407,0.0426106,0.816448,0.226084,-0.699315,
0.728302,0.291632,1.27976,0.948112,0.408765,-0.858171,-0.0977699,0.791563,0.994552,1.41793,0.396848,0.483199,0.184359,-0.276511,0.38398,1.17288,1.45748,0.577081,0.0878102,0.295785,0.0197491,1.02207,1.37508,-0.924042,-0.216048,0.70295,0.765411,0.812788,1.78176,0.382,0.2031,1.14818,0.660781,0.377129,1.40173,0.339407,0.0426106,0.816448,0.244774,-0.699315,
0.728302,0.291632,1.27976,1.03057,0.408765,-0.858171,-0.0977699,0.791563,0.994552,1.41793,0.468945,0.483199,0.184359,-0.372074,0.38398,1.17288,1.45748,0.577081,0.0878102,0.324926,0.0197491,1.02207,1.37508,-0.918163,-0.216048,0.70295,0.765411,0.812788,1.78176,0.382,0.2031,1.14818,0.660781,0.377129,1.40173,0.339407,0.0426106,0.816448,0.20646,-0.754047,
0.728302,0.291632,1.27976,0.963502,0.406811,-0.858171,-0.157635,0.791563,0.994552,1.41793,0.305863,0.533354,0.188319,-0.372074,0.38398,1.17288,1.45748,0.577081,0.0878102,0.28295,0.0318892,1.04666,1.33206,-0.918163,-0.216048,0.70295,0.765411,0.812788,1.78176,0.382,0.2031,1.14818,0.69567,0.360814,1.40619,0.339407,0.0426106,0.816448,0.205669,-0.754047,
0.728302,0.291632,1.27976,1.03741,0.406811,-0.858171,-0.157635,0.896997,1.07397,1.44814,0.308909,0.439874,0.200921,-0.374115,0.38398,1.17288,1.45748,0.577081,0.0878102,0.291507,0.0318892,1.04666,1.33206,-0.956697,-0.216048,0.70295,0.765411,0.812788,1.78176,0.382,0.2031,1.14818,0.673081,0.401284,1.30384,0.339407,0.0426106,0.816448,0.306636,-0.754047,
0.728302,0.291632,1.27976,1.01613,0.406811,-0.858171,-0.168298,0.91818,1.07294,1.44282,0.253032,0.479892,0.18636,-0.374115,0.38398,1.17288,1.45748,0.577081,0.0878102,0.330917,0.0318892,1.04666,1.33206,-0.956697,-0.216048,0.70295,0.765411,0.812788,1.78176,0.382,0.2031,1.14818,0.673081,0.401284,1.30384,0.339407,0.0426106,0.816448,0.306636,-0.754047,
0.728302,0.291632,1.27976,0.967128,0.406811,-0.856465,-0.199113,0.852788,1.08302,1.47478,0.284433,0.452873,0.202817,-0.374115,0.38398,1.17288,1.45748,0.577081,0.0878102,0.356331,0.0758116,0.990686,1.38115,-0.956697,-0.216048,0.70295,0.765411,0.812788,1.78176,0.351823,0.21145,1.12515,0.673081,0.401284,1.30384,0.339407,0.0426106,0.816448,0.332585,-0.754047,
0.728302,0.291632,1.27976,0.994217,0.394244,-0.856465,-0.0582974,0.852788,1.08302,1.47478,0.284433,0.452873,0.202817,-0.34963,0.38398,1.17288,1.45748,0.577081,0.0878102,0.356331,0.0758116,0.990686,1.38115,-0.999249,-0.216048,0.70295,0.765411,0.812788,1.78176,0.351506,0.224816,1.24179,0.673081,0.401284,1.30384,0.339407,0.0426106,0.816448,0.332585,-0.754047,
0.728302,0.291632,1.27976,0.977947,0.412192,-0.879942,-0.128883,0.852788,1.08302,1.47478,0.303682,0.452873,0.202817,-0.34963,0.38398,1.17288,1.45748,0.577081,0.0878102,0.339056,0.0758116,0.990686,1.38115,-0.96394,-0.216048,0.70295,0.765411,0.812788,1.78176,0.300713,0.189489,1.2072,0.673081,0.401284,1.30384,0.339407,0.0426106,0.816448,0.297673,-0.754047,
0.728302,0.291632,1.27976,0.951416,0.412192,-0.879942,-0.128883,0.852788,1.08302,1.47478,0.303682,0.421348,0.218684,-0.34963,0.38398,1.17288,1.45748,0.577081,0.0878102,0.381285,0.0758116,0.990686,1.38115,-0.96394,-0.216048,0.70295,0.765411,0.812788,1.78176,0.300713,0.189489,1.2072,0.684666,0.442414,1.3337,0.339407,0.0426106,0.816448,0.28008,-0.705474,
0.728302,0.291632,1.27976,0.951416,0.412192,-0.879942,-0.128883,0.852788,1.08302,1.47478,0.366912,0.421348,0.218684,-0.408286,0.38398,1.17288,1.45748,0.577081,0.0878102,0.454372,0.112914,1.01039,1.37284,-0.96394,-0.216048,0.70295,0.765411,0.812788,1.78176,0.300713,0.189489,1.2072,0.684666,0.442414,1.3337,0.339407,0.0426106,0.816448,0.297228,-0.705474,
0.728302,0.291632,1.27976,0.85097,0.431609,-0.879942,-0.128883,0.875634,1.07938,1.4406,0.420445,0.421348,0.218684,-0.35554,0.38398,1.17288,1.45748,0.577081,0.0878102,0.454372,0.112914,1.01039,1.37284,-0.96394,-0.216048,0.70295,0.765411,0.812788,1.78176,0.300713,0.189489,1.2072,0.684666,0.442414,1.3337,0.339407,0.0426106,0.816448,0.288986,-0.7119,
0.728302,0.291632,1.27976,0.882733,0.502042,-0.835176,-0.112285,0.881721,1.06146,1.45979,0.366131,0.478681,0.262673,-0.304026,0.38398,1.17288,1.45748,0.577081,0.0878102,0.504683,0.112914,1.01039,1.37284,-0.911952,-0.192029,0.655106,0.737961,0.796117,1.80022,0.300713,0.189489,1.2072,0.747315,0.470854,1.43786,0.336222,0.0764434,0.82657,0.24733,-0.71082,
0.728302,0.291632,1.27976,0.904739,0.455419,-0.920949,-0.104655,0.859881,1.06512,1.46472,0.314119,0.527685,0.346721,-0.328695,0.38398,1.17288,1.45748,0.577081,0.0878102,0.504683,0.112914,1.01039,1.37284,-0.930514,-0.192029,0.655106,0.737961,0.796117,1.80022,0.300713,0.189489,1.2072,0.833789,0.531467,1.481,0.294385,0.0493814,0.83398,0.276269,-0.71082,
0.728302,0.291632,1.27976,1.01333,0.455419,-0.923921,-0.14479,0.859881,1.06512,1.46472,0.379036,0.462483,0.324163,-0.387741,0.38398,1.17288,1.45748,0.577081,0.0878102,0.435941,0.112914,1.01039,1.37284,-0.895888,-0.192029,0.655106,0.737961,0.796117,1.80022,0.340568,0.181297,1.21082,0.833789,0.531467,1.481,0.294385,0.0493814,0.83398,0.260923,-0.635592,
0.728302,0.291632,1.27976,1.00127,0.499205,-0.927989,-0.134577,0.857145,1.02471,1.41776,0.349407,0.462483,0.324163,-0.35615,0.38398,1.17288,1.45748,0.577081,0.0878102,0.41667,0.112914,1.01039,1.37284,-0.950947,-0.192029,0.655106,0.737961,0.796117,1.80022,0.340568,0.181297,1.21082,0.833789,0.531467,1.481,0.294385,0.0493814,0.83398,0.260923,-0.731291,
