Gene,PhiValue,PhiValue
YAL001C,0.100147630337457,0.100147630337457
YAL002W,0.0350627401403685,0.0350627401403685
YAL003W,69.1790944037471,69.1790944037471
YAL007C,1.54111967497033,1.54111967497033
YAL008W,0.486633691674467,0.486633691674467
YAL009W,0.11410387075177,0.11410387075177
YAL010C,0.0633447023865524,0.0633447023865524
YAL011W,0.0763974727532389,0.0763974727532389
YAL012W,11.0326120108188,11.0326120108188
YAL013W,0.263745824850955,0.263745824850955
YAL014C,0.315599349034943,0.315599349034943
YAL015C,0.104686367878736,0.104686367878736
YAL016W,1.36963144664867,1.36963144664867
YAL017W,0.092000149006974,0.092000149006974
YAL019W,0.31876809922258,0.31876809922258
YAL020C,0.108291597082496,0.108291597082496
YAL021C,0.472001029644886,0.472001029644886
YAL022C,0.299096464952582,0.299096464952582
YAL023C,1.62320687284909,1.62320687284909
YAL024C,0.0474334027600061,0.0474334027600061
YAL025C,1.35054321489898,1.35054321489898
YAL026C,0.237477438933528,0.237477438933528
YAL027W,0.0987139009634895,0.0987139009634895
YAL028W,0.0172942381408382,0.0172942381408382
YAL029C,0.132399364273054,0.132399364273054
YAL031C,0.067375395763741,0.067375395763741
YAL032C,0.186232639292845,0.186232639292845
YAL033W,0.342730028504195,0.342730028504195
YAL034C,0.00821612068683584,0.00821612068683584
YAL034W-A,0.120453489226501,0.120453489226501
YAL035W,3.63640558685686,3.63640558685686
YAL036C,2.13382917572606,2.13382917572606
YAL037W,0.00572795101804922,0.00572795101804922
YAL038W,151.365675159074,151.365675159074
YAL039C,0.395388641857659,0.395388641857659
YAL040C,0.0878344193488938,0.0878344193488938
YAL041W,0.174287979306792,0.174287979306792
YAL042W,1.1788573478487,1.1788573478487
YAL043C,0.237241485808111,0.237241485808111
YAL044C,8.11034482192945,8.11034482192945
YAL047C,0.0699826652981795,0.0699826652981795
YAL048C,0.0714717853409888,0.0714717853409888
YAL049C,0.586688423929884,0.586688423929884
YAL051W,0.10462421499062,0.10462421499062
YAL053W,0.321430469579359,0.321430469579359
YAL055W,0.113016809263996,0.113016809263996
YAL056W,0.0593465723060597,0.0593465723060597
YAL058W,0.119211411390359,0.119211411390359
YAL059W,1.21816712105569,1.21816712105569
YAL060W,0.669647351082819,0.669647351082819
YAL061W,0.0631972870075826,0.0631972870075826
YAL062W,0.0220400658054094,0.0220400658054094
YAR002C-A,3.04660782676401,3.04660782676401
YAR002W,0.5949869399928,0.5949869399928
YAR003W,0.118957273013537,0.118957273013537
YAR007C,0.718589679802697,0.718589679802697
YAR008W,0.142972976815605,0.142972976815605
YAR014C,0.372211205325846,0.372211205325846
YAR015W,3.24148356625199,3.24148356625199
YAR018C,0.102781816085084,0.102781816085084
YAR019C,0.0373969859570401,0.0373969859570401
YAR023C,0.00705212584787468,0.00705212584787468
YAR027W,0.446504234540077,0.446504234540077
YAR028W,0.261763901411747,0.261763901411747
YAR031W,0.0547252467176573,0.0547252467176573
YAR042W,0.145545789412644,0.145545789412644
YBL004W,0.250005775832193,0.250005775832193
YBL005W,0.0537458703882384,0.0537458703882384
YBL006C,0.603459504691524,0.603459504691524
YBL007C,1.25894814881097,1.25894814881097
YBL008W,0.0939660373168826,0.0939660373168826
YBL009W,0.241720638257843,0.241720638257843
YBL010C,0.187471986751133,0.187471986751133
YBL011W,0.223395329796685,0.223395329796685
YBL014C,0.0435715633533562,0.0435715633533562
YBL015W,0.182999321474267,0.182999321474267
YBL016W,0.242091093728174,0.242091093728174
YBL017C,0.494559363734144,0.494559363734144
YBL019W,0.0325642662307558,0.0325642662307558
YBL020W,0.158532204114724,0.158532204114724
YBL022C,0.740010550813699,0.740010550813699
YBL023C,0.289022932066845,0.289022932066845
YBL024W,1.55916236233851,1.55916236233851
YBL027W,13.5496070727859,13.5496070727859
YBL029W,0.0325296943398473,0.0325296943398473
YBL030C,6.76394047395396,6.76394047395396
YBL031W,0.0881955786713039,0.0881955786713039
YBL032W,1.89655241203283,1.89655241203283
YBL033C,0.436636690729686,0.436636690729686
YBL034C,0.0928916969531296,0.0928916969531296
YBL035C,0.247667721495941,0.247667721495941
YBL036C,1.45225834255341,1.45225834255341
