ORF,phi
YJL189W,44.7444207972822
YMR108W,2.17527496124844
YBL103C,0.400804770896914
YBR137W,0.860707389408151
YDR178W,2.4707741607113
YJL163C,0.298936146542137
YMR037C,0.62189282787579
YLR059C,1.67269502632806
YPL024W,0.165318623803739
YDL132W,0.853092133179498
YPL144W,0.617751150359431
YLR029C,47.771495879509
YOL100W,0.423675032568569
YOR073W,0.536823760692898
YJR126C,0.838816442854955
YBL032W,2.2213667621386
YJL148W,1.68970000822135
YER175C,0.418697177252285
YGL012W,3.58490371022218
YPR189W,0.382605626137305
YOL088C,0.778014429548788
YKL206C,0.619449656093847
YDL056W,0.39954908112717
YFR014C,1.18123677163173
YGL019W,1.57478208887571
YKL138C,2.14712500758568
YDR400W,0.663794757315147
YCR071C,1.06792423868656
YLR333C,12.151455018714
YOL053W,0.45389396291529
YKL160W,2.3465224537867
YDR009W,0.0786881809097879
YJR138W,0.260020562431369
YNL330C,1.17947485200682
YDL044C,0.266623509450314
YBL072C,30.7426078699424
YNR024W,0.583552550559133
YPL078C,5.48753862079951
YHR177W,0.129477520373568
YOR034C,0.25270268444479
YGL079W,0.514766720973087
YBR076W,0.0656082749321231
YLL019C,0.706418548231844
YKR018C,1.23585322921107
YMR010W,1.0049322724087
YDR071C,4.26682278310584
YCL063W,0.451342928459921
YIR006C,1.33767795950748
YLR067C,0.199222524783725
YDR078C,0.291722245937308
YPR112C,0.419998907873434
YLR023C,0.806153541621047
YOL114C,0.151888286159549
YGL241W,0.305576463807511
YPL086C,0.574864484994857
YNL022C,0.393994245705535
YGR090W,0.600888288791114
YKR005C,0.0694665738459216
YLR272C,0.232951612456721
YOR153W,3.15344938495554
YGR218W,1.28500883820377
YML013W,0.553080955211931
YDR007W,1.08325785482082
YBL095W,0.5285421112779
YNL275W,0.20360197876782
YEL048C,0.301335006136514
YLR116W,0.514418801614796
YNL215W,0.726790006422134
YLL005C,0.238719453131058
YNR002C,0.211795274899014
YKL092C,0.295127119874785
YKR074W,2.0053013599813
YNL054W,0.276282297196856
YMR148W,0.936345648794757
YIL018W,37.9753144104799
YMR060C,0.565222556496317
YMR083W,7.89141452746147
YPR002W,0.0893411350969136
YAL047C,0.203434328613557
YOR090C,0.838899162774643
YNL023C,0.224097059889324
YHL042W,0.0572123336014033
YOL030W,4.48282762804611
YDR460W,0.472105576768072
YDR505C,0.664640190394615
YHL036W,0.229975127290878
YNL223W,0.236277812285012
YLR203C,1.44079592079851
YPR139C,0.948584465267296
YPL213W,0.341280020032246
YMR305C,4.3346863838371
YER063W,2.67937408316538
YGL060W,0.369494158607397
YOR108W,1.41249201994218
YBR181C,18.5077251510246
YPL250C,0.326457964676369
YGR108W,1.31992729356177
YGR089W,0.483047785869747
YMR184W,0.762070578017281
YBR175W,0.406957585091938
YKL048C,0.270268964749512
YAL007C,3.02407612061044
YEL024W,1.50750675483379
YGL137W,2.1044286933452
YJL034W,5.38104177668854
YMR123W,1.33608323250194
YKL065C,4.05758290041442
YOR051C,1.92820615792574
YPL034W,0.528380694125605
YML126C,2.93372502124383
YDL226C,1.70981030307929
YOR137C,0.357067988667417
YMR070W,0.994546884520311
YJR127C,0.616194058725579
YPR035W,32.3337322740989
YGL106W,3.87076520979868
YNL259C,1.8078404048586
YFL059W,0.257049904623424
YEL038W,1.34908981655648
YLR360W,0.475785997348742
YMR062C,0.803698879629189
YER024W,0.12240717271356
YHR094C,0.0522992792557756
YNR036C,3.41880651797924
YBR045C,0.0695889503818398
