ORF,phi
YAL001C,0.534208735567299
YAL002W,0.300743395587284
YAL003W,30.4903534434645
YAL004W,8.59781614661083
YAL005C,15.2774570991418
YAL007C,3.02407612061044
YAL008W,1.22381409270779
YAL009W,0.47194085228032
YAL010C,0.194902735406328
YAL011W,0.313973968724313
YAL012W,4.12114617541607
YAL013W,0.482372149802519
YAL014C,0.898495149453056
YAL015C,0.403873908576044
YAL016C-A,0.579221673805271
YAL016C-B,0.997346643019663
YAL016W,1.33432360179558
YAL017W,0.675084082848168
YAL018C,0.00508897383319014
YAL019W,0.471395028543765
YAL019W-A,0.178950071977169
YAL020C,0.329792461059184
YAL021C,0.784875621702359
YAL022C,0.677805619621044
YAL023C,3.07625930381138
YAL024C,0.186267190716849
YAL025C,0.909693442824495
YAL026C,0.657810076558262
YAL026C-A,1.35545559415265
YAL027W,0.34056617804744
YAL028W,0.31788619428052
YAL029C,0.66513440832181
YAL030W,1.2844401347691
YAL031C,0.396505868180798
YAL031W-A,0.521972720401458
YAL032C,0.356350038600458
YAL033W,0.585137831696069
YAL034C,0.485468488823931
YAL034C-B,0.275687935722113
YAL034W-A,0.221616483604584
YAL035W,3.13621050183575
YAL036C,1.14221018180133
YAL037C-A,4.39986972531231
YAL037C-B,119.167573105436
YAL037W,0.128362679593884
YAL038W,106.482652775325
YAL039C,0.813470881655817
YAL040C,1.08339618750243
YAL041W,0.612889217041867
YAL042C-A,1.58050916394695
YAL042W,2.83300527755841
YAL043C,0.488173366016033
YAL044C,9.4323947659989
YAL044W-A,1.27739589958731
YAL045C,1.19869903074816
YAL046C,0.817132368322376
YAL047C,0.203434328613557
YAL047W-A,0.0644235943017695
YAL048C,0.17316235825684
YAL049C,1.2778109680021
YAL051W,0.241950279858601
YAL053W,0.569348134846889
YAL054C,0.140342955737272
YAL055W,0.466821278009473
YAL056C-A,0.406940082399595
YAL056W,0.514035476137568
YAL058W,0.379069990336662
YAL059C-A,0.498608847330939
YAL059W,0.601520939311213
YAL060W,2.93470885881029
YAL061W,0.749896837488857
YAL062W,0.261642263894125
YAL063C,0.114183732127553
YAL063C-A,0.0292461848974364
YAL064C-A,0.103052487198214
YAL065C,0.0410805966644648
YAL067C,0.0148571813681662
YAR002C-A,3.99263437658837
YAR002W,0.98271521722203
YAR003W,0.537600449498153
YAR007C,0.902721728197179
YAR008W,0.38818873455399
YAR014C,0.594909908814718
YAR015W,10.1564010933228
YAR018C,0.433210001105079
YAR019C,0.148112710794021
YAR019W-A,0.0269432572741639
YAR020C,0.136393809913001
YAR023C,0.169517962725967
YAR027W,1.27553711645493
YAR028W,0.664246771732159
YAR029W,0.241471969386655
YAR030C,0.0932351717522701
YAR031W,0.19796644390606
YAR033W,0.260408039267216
YAR035C-A,0.0887865038272518
YAR035W,0.0618954196508019
YAR042W,0.646678381439081
YAR047C,0.0213496074196442
YAR050W,0.0655281923675684
YAR064W,0.415389599742101
YAR071W,1.03700598873687
YAR073W,0.0227894543499407
YBL001C,4.4675171138825
YBL002W,10.8087805495625
YBL003C,21.9631559479666
YBL004W,0.213815230692621
YBL005W,0.376069996637165
YBL006C,1.41306281196846
YBL006W-A,1.63668151017364
YBL007C,1.11395963181763
YBL008W,0.177058714047621
YBL008W-A,0.0195548914190374
YBL009W,0.389765412827938
YBL010C,0.409042525835678
YBL011W,0.874476025566713
YBL012C,0.450514238233281
YBL013W,0.0732209910751045
YBL014C,0.251285306026849
YBL015W,0.572834168213086
YBL016W,1.3479860329575
YBL017C,1.03952384735839
YBL018C,0.602304667657
YBL019W,0.224374260452831
YBL020W,0.486702686824528
YBL021C,0.39923697648467
YBL022C,0.922776877826486
YBL023C,0.317104955087271
YBL024W,1.43849306142302
YBL025W,0.363424270649185
YBL026W,2.46046071276232
YBL027W,27.9121613559852
YBL028C,1.3347638399503
YBL029C-A,1.03072414950015
YBL029W,0.536805053394718
YBL030C,8.63252025955238
YBL031W,0.351102223640948
YBL032W,2.2213667621386
YBL033C,0.690328688540777
YBL034C,0.17206373106658
YBL035C,0.36710246155735
