Parameter,Value,SD
A.GCA.log.mu,-0.351205995194862,0.0534784011558843
A.GCC.log.mu,0.378040490284924,0.0356377305755421
A.GCG.log.mu,0.482376057514263,0.0808751581639584
A.GCA.Delta.eta,0.683675787179455,0.0539013683129592
A.GCC.Delta.eta,0.0264842217121383,0.0229354173490229
A.GCG.Delta.eta,0.991072173213241,0.0916352373407569
C.TGC.log.mu,0.002558525809148,0.074432317966232
C.TGC.Delta.eta,0.509116180778564,0.0881188546506888
D.GAC.log.mu,0.587580379613901,0.0311479124991002
D.GAC.Delta.eta,-0.216898260825938,0.0295979283754168
E.GAA.log.mu,-0.420197453412268,0.0325791891617619
E.GAA.Delta.eta,-0.279052625242126,0.0319549358961217
F.TTC.log.mu,0.678189702721732,0.0411342314764447
F.TTC.Delta.eta,-0.360526378873658,0.0387332090058812
G.GGA.log.mu,-0.0882731872461217,0.0852881139511759
G.GGC.log.mu,0.112045514458978,0.052116868421595
G.GGG.log.mu,0.308620978612726,0.0953237010676789
G.GGA.Delta.eta,1.24613125355089,0.0953644004157811
G.GGC.Delta.eta,0.544507190161113,0.0512032639953625
G.GGG.Delta.eta,1.31197372607935,0.108951981535831
H.CAC.log.mu,0.412652958316064,0.0499715102904419
H.CAC.Delta.eta,-0.253748536973317,0.0473152258043884
I.ATA.log.mu,-0.179670042127191,0.0895302919267121
I.ATC.log.mu,0.374824576540656,0.0310222730269001
I.ATA.Delta.eta,1.36071089128137,0.10665917987169
I.ATC.Delta.eta,-0.146249895075814,0.0256458561703407
K.AAA.log.mu,-0.594874045516905,0.0393931990936214
K.AAA.Delta.eta,0.496053457267493,0.0403018726946744
L.CTA.log.mu,0.388669618211267,0.0426066162070732
L.CTC.log.mu,0.85345958150118,0.0933929651757043
L.CTG.log.mu,0.340444274226344,0.0541295048710732
L.CTT.log.mu,0.463885782993427,0.0667850506537191
L.TTA.log.mu,0.019266710665271,0.0454364669028121
L.CTA.Delta.eta,0.416272685499969,0.0418019717639521
L.CTC.Delta.eta,1.25077345202445,0.114720599306589
L.CTG.Delta.eta,0.69749212282743,0.0604220364901436
L.CTT.Delta.eta,0.872137318810895,0.0767163084770795
L.TTA.Delta.eta,0.547614294389266,0.0465080415097603
N.AAC.log.mu,0.355606215847723,0.0456627262992092
N.AAC.Delta.eta,-0.563986869382844,0.0496114443475892
P.CCA.log.mu,-0.0444183398266196,0.0479537971221127
P.CCC.log.mu,0.291683142082103,0.0692808097574783
P.CCG.log.mu,0.359361369722815,0.0694736977124878
P.CCA.Delta.eta,-0.442260583917665,0.0469831492013523
P.CCC.Delta.eta,0.561070854698464,0.082512884581866
P.CCG.Delta.eta,0.564528409154284,0.0846925866776583
Q.CAA.log.mu,-0.173835609147851,0.0446175801395694
Q.CAA.Delta.eta,-0.447090179999448,0.0463802091762979
R.AGA.log.mu,-0.882228615093139,0.0407843394169451
R.AGG.log.mu,-0.699294766015752,0.0636872845411974
R.CGA.log.mu,-0.196709373942206,0.154676213733569
R.CGC.log.mu,0.396871920020661,0.0826307992019887
R.CGG.log.mu,0.19719680468511,0.147431076219593
R.AGA.Delta.eta,-0.00905986999669081,0.0301823487204145
R.AGG.Delta.eta,0.627370998490501,0.0653625942357235
R.CGA.Delta.eta,2.54962560115076,0.239841464703366
R.CGC.Delta.eta,0.619097534026922,0.092469296185417
R.CGG.Delta.eta,1.8295778882967,0.208047351004877
S.TCA.log.mu,0.0236747823996959,0.0605621986319019
S.TCC.log.mu,0.518832654751755,0.0336779218275612
S.TCG.log.mu,0.360352284495992,0.0712348278161708
S.TCA.Delta.eta,0.803670311246486,0.0698659567209121
S.TCC.Delta.eta,-0.00135670966022364,0.0245868446600104
S.TCG.Delta.eta,0.902029620293515,0.0838638048819484
T.ACA.log.mu,-0.333440955321619,0.0579955659448994
T.ACC.log.mu,0.286958991941197,0.0348913692245281
T.ACG.log.mu,0.318583556636559,0.0731593382697788
T.ACA.Delta.eta,0.747850263556135,0.0639636167889579
T.ACC.Delta.eta,-0.0695889115820376,0.0259467355634322
T.ACG.Delta.eta,0.873068939803407,0.0830413377717859
V.GTA.log.mu,0.00969851402484055,0.0742976221701834
V.GTC.log.mu,0.568324580047501,0.0342281505363802
V.GTG.log.mu,0.197530422484927,0.0593771507371389
V.GTA.Delta.eta,1.03039086494969,0.0838632552240048
V.GTC.Delta.eta,-0.0513891070869148,0.0225855395068807
V.GTG.Delta.eta,0.679159019458304,0.0635533025284953
Y.TAC.log.mu,0.164234252378901,0.0440962251161876
Y.TAC.Delta.eta,-0.39458512148152,0.0451093925820368
Z.AGC.log.mu,0.182919988485015,0.0516173682464016
Z.AGC.Delta.eta,0.0316732766364367,0.0634806686108102
