Parameter,Value,SD
A.GCA.log.mu,-0.878968686619877,0.0460985505606185
A.GCC.log.mu,-1.16534136044723,0.0345713572929919
A.GCG.log.mu,-1.30966306719643,0.0533829531654959
A.GCA.Delta.eta,0.72830185165812,0.0549726088436007
A.GCC.Delta.eta,0.291631774330645,0.0318350366886861
A.GCG.Delta.eta,1.27975819782997,0.0776802728591739
C.TGC.log.mu,-1.34692575783379,0.0665153199544271
C.TGC.Delta.eta,0.796609016610359,0.0783113449943456
D.GAC.log.mu,-1.52702152746127,0.0348402744620235
D.GAC.Delta.eta,0.257103958386596,0.0358352746682709
E.GAA.log.mu,1.26688199229358,0.0366698421446743
E.GAA.Delta.eta,-0.791479641528805,0.0496414619605273
F.TTC.log.mu,0.135267234040546,0.0325947667800192
F.TTC.Delta.eta,-0.106153458684856,0.0352777709069531
G.GGA.log.mu,0.0490975445970948,0.0574278134752604
G.GGC.log.mu,-1.70882734436378,0.0456327272669805
G.GGG.log.mu,-0.786878983258913,0.0605649383099665
G.GGA.Delta.eta,0.792277025374029,0.0627438528337483
G.GGC.Delta.eta,0.977489255303772,0.0589051587165825
G.GGG.Delta.eta,1.38051473225685,0.0883310343864909
H.CAC.log.mu,-1.37266314507568,0.0507407784983143
H.CAC.Delta.eta,0.0877660139473975,0.0551815598206259
I.ATA.log.mu,0.362823474875041,0.0534621162028314
I.ATC.log.mu,-1.09341311818347,0.0343606979478966
I.ATA.Delta.eta,0.366361720939084,0.0644750030897227
I.ATC.Delta.eta,0.0772738006994931,0.0326738770233147
K.AAA.log.mu,0.987818269488305,0.0301045239604942
K.AAA.Delta.eta,-0.0356144584443438,0.0292808054311943
L.CTA.log.mu,0.533375400668766,0.0449053866701349
L.CTC.log.mu,-0.518988030374401,0.0511507092598379
L.CTG.log.mu,-1.800703868435,0.0528913520339171
L.CTT.log.mu,0.46797968565883,0.0498456795247016
L.TTA.log.mu,2.13150868745267,0.0723308177692221
L.CTA.Delta.eta,0.3839796287902,0.0453643643447743
L.CTC.Delta.eta,1.17287894252199,0.0715156402876559
L.CTG.Delta.eta,1.45747818074898,0.0761361087586487
L.CTT.Delta.eta,0.577081471775427,0.0563925370451978
L.TTA.Delta.eta,0.0878101846922768,0.0599818282398021
N.AAC.log.mu,-1.88394514846502,0.045529729233243
N.AAC.Delta.eta,0.1603786166899,0.0440579067858925
P.CCA.log.mu,-0.55972378541454,0.0445837706615369
P.CCC.log.mu,-1.34064673167732,0.055478824916422
P.CCG.log.mu,-1.60779869440747,0.0614761678709735
P.CCA.Delta.eta,0.0197491171139328,0.0306009979434938
P.CCC.Delta.eta,1.02206656664912,0.0705678630078285
P.CCG.Delta.eta,1.37507690388911,0.0863200577147767
Q.CAA.log.mu,1.67357467306149,0.0484313912883791
Q.CAA.Delta.eta,-0.931565320044532,0.0631201213628835
R.AGA.log.mu,-0.804485592493337,0.0500074456989286
R.AGG.log.mu,-1.42900635467693,0.0555472699027115
R.CGA.log.mu,0.253189512708204,0.0864927423441381
R.CGC.log.mu,-1.23271299372035,0.0590727841071161
R.CGG.log.mu,-1.40079726616016,0.0774365957888563
R.AGA.Delta.eta,-0.216047735785577,0.0475166216237517
R.AGG.Delta.eta,0.702950084424747,0.06653868860824
R.CGA.Delta.eta,0.765411092396697,0.118681969243477
R.CGC.Delta.eta,0.812788191016601,0.0766798175080809
R.CGG.Delta.eta,1.78175574729942,0.127905015926068
S.TCA.log.mu,0.403150936325784,0.0505134102066349
S.TCC.log.mu,-0.76847634704456,0.0367632532930848
S.TCG.log.mu,-1.19973355207015,0.0516718826148126
S.TCA.Delta.eta,0.390387831893339,0.0481689609008368
S.TCC.Delta.eta,0.261016961205479,0.0320137899825934
S.TCG.Delta.eta,1.18374103631895,0.0723718750358793
T.ACA.log.mu,-0.914441912334925,0.0502158192881555
T.ACC.log.mu,-1.39421934189175,0.0416111842970276
T.ACG.log.mu,-1.60158859272859,0.0593009769718135
T.ACA.Delta.eta,0.710871101154234,0.0545061121056438
T.ACC.Delta.eta,0.28779551074955,0.0329907826573463
T.ACG.Delta.eta,1.32582552234499,0.0820057954415986
V.GTA.log.mu,0.830381001066603,0.0567554413712569
V.GTC.log.mu,-0.551900564133876,0.0343388301380708
V.GTG.log.mu,-1.39379429064621,0.0434131837230333
V.GTA.Delta.eta,0.334892897927371,0.0587631782972441
V.GTC.Delta.eta,0.0720326351515248,0.0288441055826414
V.GTG.Delta.eta,0.859539342500717,0.0565174950005928
Y.TAC.log.mu,-1.65496665233975,0.0465207648845997
Y.TAC.Delta.eta,0.0306560950527543,0.0465077536135998
Z.AGC.log.mu,-1.68175495576121,0.0516279812270253
Z.AGC.Delta.eta,0.635150995351407,0.0586282440261242
